dayofweek,timeofday,area,grp,address,city,state,zip,type,misc,geocode
MON,07:00 AM,E,Beaches Unity Group,322 Penman Rd,Jacksonville Beach,FL,32250,O-DR-HF,NULL,NULL
MON,07:00 AM,E,Design For Living,826 4th St N,Jacksonville Beach,FL,32250,C-BBS-HF,NULL,NULL
MON,07:00 AM,F,Fernandina Beach Group,906 S 7th St,Fernandina Beach,FL,32034,C-D-HF,Amelia Room 904-261-8349,NULL
MON,07:00 AM,D,St Nicholas Group,3134 Beach Blvd,Jacksonville,FL,32207,O-BBS-HF,NULL,NULL
MON,07:00 AM,A,Sunrise Breakfast Group,51 E First St,Jacksonville,FL,32206,O-D-HF,NULL,NULL
MON,07:00 AM,H,Winning Game Group,18 S Dixie Hwy,St Augustine,FL,32084,O-BBS-HF,NULL,NULL
MON,08:00 AM,C,Central Group,1423 San Marco Blvd,Jacksonville,FL,32207,C-D,NULL,NULL
MON,08:00 AM,F,Downtown Group,32 N 3rd St,Fernandina Beach,FL,32034,C-BBS-HF,NULL,NULL
MON,08:00 AM,G,Orange Park Group,1835 Smith St,Orange Park,FL,32073,O-D-HF,NULL,NULL
MON,08:00 AM,B,Westside Group,4615 Lexington Ave,Jacksonville,FL,32210,O-D-HF,NULL,NULL
MON,08:30 AM,H,Morning After Group,18 S Dixie Hwy,St Augustine,FL,32084,O-TBS-HF,NULL,NULL
MON,09:00 AM,F,Kingsland Recovery Group,313 Central Ave,Kingsland,GA,31548,O-D-TBS,Camden Serenity Club - (912) 265-0892,NULL
MON,09:30 AM,A,Living in the Light,900 Bridier St,Jacksonville,FL,32206,O-BBS-HF,NULL,NULL
MON,09:30 AM,B,Winners,1400 Cassat Ave,Jacksonville,FL,32205,O-D-HF,In Strip Mall-End Unit,NULL
MON,10:00 AM,C,Central Group,1423 San Marco Blvd,Jacksonville,FL,32207,C-D,NULL,NULL
MON,11:00 AM,F,Fernandina Beach Group,906 S 7th St,Fernandina Beach,FL,32034,C-D-HF,Amelia Room 904-261-8349,NULL
MON,11:30 AM,H,Lest We Forget Group,5205 A1A S,St Augustine,FL,32080,L-C-D-HF,St Anastasia Catholic Church (A1A & Weff Rd),NULL
MON,12:00 PM,D,Arlington Group,1343 Cesery Terr,Jacksonville,FL,32211,O-D,NULL,NULL
MON,12:00 PM,E,BAA,400 San Juan Dr,Ponte Vedra Beach,FL,32082,O-D-HF,Christ Episcopal Church-Park on Second Floor of Ga,NULL
MON,12:00 PM,E,Beaches Unity Group,322 Penman Rd,Jacksonville Beach,FL,32250,O-D-HF,NULL,NULL
MON,12:00 PM,C,Central Group,1423 San Marco Blvd,Jacksonville,FL,32207,O-D,NULL,NULL
MON,12:00 PM,D,Fiesta Group,3645 Spring Park Rd,Jacksonville,FL,32207,O-D-HF,NULL,NULL
MON,12:00 PM,H,Freedom Group,318 Osceola St,Palatka,FL,32177,O-BBS,The Lions Club,NULL
MON,12:00 PM,G,Green Cove Springs Group,610 Ferris St,Green Cove Springs,FL,32043,O-D-HF,Nanas House-2 blks W of US 17,NULL
MON,12:00 PM,F,Keep It Simple Group,2600 Atlantic Ave,Fernandina Beach,FL,32034,O-S-D,Prince of Peace Lutheran Church,NULL
MON,12:00 PM,H,New Life Group,18 S Dixie Hwy,St Augustine,FL,32084,O-D-HF,NULL,NULL
MON,12:00 PM,H,Night Owl Group,38 Cathedral Place,St Augustine,FL,32084,O-D,Cathedral Basilica Church-Enter E Side of Building,NULL
MON,12:00 PM,G,Orange Park Group,1835 Smith St,Orange Park,FL,32073,O-D-HF,NULL,NULL
MON,12:00 PM,A,Phoenix Group,51 E First St,Jacksonville,FL,32206,O-D-HF,NULL,NULL
MON,12:00 PM,C,Serenity at Noon,2501 Loretto Road,Jacksonville,FL,32223,O-BBS-HF,Mandarin Presbyterian Church-Choir Room,NULL
MON,12:00 PM,E,Sunshine Group,400 San Juan Dr,Ponte Vedra Beach,FL,32082,O-TBS,Christ Episcopal Church-Park on Second Floor of Ga,NULL
MON,01:30 PM,E,Women Enjoying Sobriety,322 Penman Rd,Jacksonville Beach,FL,32250,L-O-BS-HF,NULL,NULL
MON,02:00 PM,D,Fiesta Group,3645 Spring Park Rd,Jacksonville,FL,32207,O-D-HF,NULL,NULL
MON,02:00 PM,B,Westside Group,4615 Lexington Ave,Jacksonville,FL,32210,O-D-HF,NULL,NULL
MON,03:30 PM,F,Downtown Group,32 N 3rd St,Fernandina Beach,FL,32034,O-D-HF,NULL,NULL
MON,05:30 PM,D,Arlington Group,1343 Cesery Terr,Jacksonville,FL,32211,O-TBS,NULL,NULL
MON,05:30 PM,A,Billy Goat Hill Group,256 E Church St,Jacksonville,FL,32202,O-D,St Johns Cathedral,NULL
MON,05:30 PM,D,Fiesta Group,3645 Spring Park Rd,Jacksonville,FL,32207,O-TBS-HF,NULL,NULL
MON,05:30 PM,H,Happy Hour Group,18 S Dixie Hwy,St Augustine,FL,32084,O-TBS-HF,NULL,NULL
MON,05:30 PM,G,Orange Park Group,1835 Smith St,Orange Park,FL,32073,O-D-HF,NULL,NULL
MON,05:30 PM,D,Q Branch Group,11265 Alumni Way,Jacksonville,FL,32246,O-D,Quality Life Center,NULL
MON,05:30 PM,B,Winners,1400 Cassat Ave,Jacksonville,FL,32205,O-D-HF,In Strip Mall-End Unit,NULL
MON,06:00 PM,H,A Way Out Group,200 Main St,Palatka,FL,32177,O-D-Beg,St Marks Episcopal Church,NULL
MON,06:00 PM,C,Central Group,1423 San Marco Blvd,Jacksonville,FL,32207,C-D,NULL,NULL
WED,06:00 PM,G,Hole in the Wall,City Hall County Rd 18,Hampton,FL,32044,O-D-HF,NULL,NULL
MON,06:00 PM,F,Kingsland Recovery Group,313 Central Ave,Kingsland,GA,31548,O-D-Beg,Camden Serenity Club - (912) 265-0892,NULL
MON,06:00 PM,C,On The Way Home,210 N Ridgecrest Lane,St Johns,FL,32259,O-D-DR,Fruit Cove Baptist Church - Room 100,NULL
MON,06:00 PM,H,Villagers,4225 Pacetti Rd,St Augustine,FL,32092,O-D-HF,Village Church,NULL
MON,06:00 PM,C,Women in Recovery Group,2001 W University Blvd,Jacksonville,FL,32217,L-O-D,Lakewood Presbyterian Church-Edu Bld Room 10,NULL
MON,06:30 PM,E,Beaches Unity Group,322 Penman Rd,Jacksonville Beach,FL,32250,O-D-Beg-HF,NULL,NULL
MON,06:30 PM,F,Fernandina Beach Group,906 S 7th St,Fernandina Beach,FL,32034,O-D-Beg-HF,Amelia Room 904-261-8349,NULL
MON,06:30 PM,A,Fresh Start Group,51 E First St,Jacksonville,FL,32206,O-S-HF,NULL,NULL
MON,06:30 PM,D,Language of the Heart,6500 Ft Caroline Rd,Jacksonville,FL,32277,L-O-D-HF,NULL,NULL
MON,06:30 PM,G,Sojourn Group,557 Madison,Orange Park,FL,32065,M-O-D-HF,Grace Free Will Baptist Church,NULL
MON,06:30 PM,A,Womens Upstart Group,1620 Naldo Ave,Jacksonville,FL,32207,L-O-D (S-Last Mon),Community Connections,NULL
MON,06:45 PM,D,Fiesta Group,3645 Spring Park Rd,Jacksonville,FL,32207,L-O-D-HF,NULL,NULL
MON,06:45 PM,D,Roving Stag,3645 Spring Park Rd,Jacksonville,FL,32207,M-O-D-HF,NULL,NULL
MON,07:00 PM,A,City Group,1704 N Pearl St,Jacksonville,FL,32206,O-D,NULL,NULL
MON,07:00 PM,H,Crescent City Group,233 N Summit St,Crescent City,FL,32112,O-SD-TD-D,Church of the Holy Comforter,NULL
MON,07:00 PM,A,Fourth Street Group,20 W 4th St,Jacksonville,FL,32206,O-D,NULL,NULL
MON,07:00 PM,E,Its Come to This,325 N 7th Ave,Jacksonville Beach,FL,32250,O-BS-D,Disciple House,NULL
MON,07:00 PM,E,Neptune Beach Book Study,610 Florida Blvd,Neptune Beach,FL,32266,C-BS,Beaches Chapel room 205,NULL
MON,07:00 PM,G,Orange Park Group,1835 Smith St,Orange Park,FL,32073,M-C-D-HF,NULL,NULL
MON,07:00 PM,E,Ponte Vedra Mens Group,400 San Juan Dr,Ponte Vedra Beach,FL,32082,M-C-D-HF,Christ Episcopal Church-Park on Second Floor of Ga,NULL
MON,07:00 PM,B,Primary Purpose Group,4758 Shelby Ave,Jacksonville,FL,32210,O-BS-HF,St Catherines Episcopal Church,NULL
MON,07:00 PM,E,The Missing Link,130 4th Ave S,Jacksonville Beach,FL,32250,L-O-D-HF,NULL,NULL
MON,07:30 PM,H,Fresh Start Group,400 Health Park Blvd,St Augustine,FL,32086,O-D-Beg-CC-HF,Flagler Hospital Osceola Room,NULL
MON,07:30 PM,G,Lawtey Primary Purpose Group,1822 Madison St,Lawtey,FL,32058,O-BS,Grace United Methodist Church,NULL
MON,08:00 PM,C,Amethyst Group,11924 San Jose Blvd,Jacksonville,FL,32223,O-D,First Christian Church of Mandarin,NULL
MON,08:00 PM,D,Arlington Group,1343 Cesery Terr,Jacksonville,FL,32211,O-D-Beg-SM,NULL,NULL
MON,08:00 PM,D,Baymeadows Group,9800 Baymeadows Rd,Jacksonville,FL,32256,C-D-HF,Holy Family Catholic Church,NULL
MON,08:00 PM,E,Beaches Unity Group,322 Penman Rd,Jacksonville Beach,FL,32250,O-D-HF,NULL,NULL
MON,08:00 PM,F,Callahan Group,45031 Historical Lane,Callahan,FL,32011,O-D,Greater Mt Pleasant Baptist Church,NULL
MON,08:00 PM,C,Central Group,1423 San Marco Blvd,Jacksonville,FL,32207,O-S,NULL,NULL
MON,08:00 PM,F,Downtown Group,32 N 3rd St,Fernandina Beach,FL,32034,O-TBS-HF,NULL,NULL
MON,08:00 PM,F,Folkston Group,51 Shady Lane,Folkston,GA,31537,O-D-Beg,For Info Or Directions call: (912) 496-1007,NULL
MON,08:00 PM,G,Green Cove Springs Group,610 Ferris St,Green Cove Springs,FL,32043,O-BS-HF,Nanas House-2 blks W of US 17,NULL
MON,08:00 PM,A,Helping Hands Group,2625 N Market St,Jacksonville,FL,32206,O-BS-SM,NULL,NULL
MON,08:00 PM,F,Kingsland Recovery Group,313 Central Ave,Kingsland,GA,31548,C-D,Camden Serenity Club - (912) 265-0892,NULL
MON,08:00 PM,B,Macclenny Group,8981 S SR 228,Macclenny,FL,32063,O-D-HF,Wayne Fryer Trailer Sales Office,NULL
MON,08:00 PM,G,Middleburg Group,4564 Rosemary St,Middleburg,FL,32068,O-D,Middleburg Presbyterian Church,NULL
MON,08:00 PM,H,Oyster Creek Group,18 S Dixie Hwy,St Augustine,FL,32084,O-D-HF,NULL,NULL
MON,08:00 PM,A,Phoenix Group,51 E First St,Jacksonville,FL,32206,O-D-HF,NULL,NULL
MON,08:00 PM,A,Riverview Study Group,7944 Smyrna St,Jacksonville,FL,32208,O-S,NULL,NULL
MON,08:00 PM,G,Sojourn Group,557 Madison,Orange Park,FL,32065,O-BBS-HF,Grace Free Will Baptist Church,NULL
MON,08:00 PM,A,Stepping in Sobriety,51 E First St,Jacksonville,FL,32206,O-BBS-S-HF,NULL,NULL
MON,08:00 PM,B,TLC,849 Park St,Jacksonville,FL,32204,C-BS-HF,Riverside Presbyterian Church,NULL
MON,08:00 PM,H,Triangle Group,26 Artillery Lane,St Augustine,FL,32084,C-D-HF,Trinity Episc Church-Enter Assembly Hall in Rear,NULL
MON,08:00 PM,A,Trout River Group,9745 Lem Turner,Jacksonville,FL,32208,O-SS,NULL,NULL
MON,07:00 PM,B,Wesconnett Group,3889 Eloise St,Jacksonville,FL,32210,O-D-HF,Holy Trinity Anglican,NULL
MON,08:00 PM,B,Westside Group,4615 Lexington Ave,Jacksonville,FL,32210,O-D-HF,NULL,NULL
MON,08:15 PM,E,Sawgrass Dutch Group,400 San Juan Dr,Ponte Vedra Beach,FL,32082,O-S-HF,Christ Episcopal Church-Park on Second Floor of Ga,NULL
MON,08:30 PM,G,Orange Park Group,1835 Smith St,Orange Park,FL,32073,O-D-HF,NULL,NULL
TUE,07:00 AM,E,Back To Basics,322 Penman Rd,Jacksonville Beach,FL,32250,O-BS-HF,Small Room,NULL
TUE,07:00 AM,E,Beaches Unity Group,322 Penman Rd,Jacksonville Beach,FL,32250,O-DR & TBS-HF,NULL,NULL
TUE,07:00 AM,F,Fernandina Beach Group,906 S 7th St,Fernandina Beach,FL,32034,O-TBS-HF,Amelia Room 904-261-8349,NULL
TUE,07:00 AM,D,St Nicholas Group,3134 Beach Blvd,Jacksonville,FL,32207,O-BS-HF,NULL,NULL
TUE,07:00 AM,A,Sunrise Breakfast Group,51 E First St,Jacksonville,FL,32206,O-D-HF,NULL,NULL
TUE,07:00 AM,H,Winning Game Group,18 S Dixie Hwy,St Augustine,FL,32084,O-TBS-HF,NULL,NULL
TUE,08:00 AM,C,Central Group,1423 San Marco Blvd,Jacksonville,FL,32207,C-D,NULL,NULL
TUE,08:00 AM,F,Downtown Group,32 N 3rd St,Fernandina Beach,FL,32034,C-D-HF,NULL,NULL
TUE,08:00 AM,G,Orange Park Group,1835 Smith St,Orange Park,FL,32073,O-D-HF,NULL,NULL
TUE,08:00 AM,B,Westside Group,4615 Lexington Ave,Jacksonville,FL,32210,O-D-HF,NULL,NULL
TUE,08:30 AM,H,Morning After Group,18 S Dixie Hwy,St Augustine,FL,32084,O-D-HF,NULL,NULL
TUE,09:00 AM,F,Kingsland Recovery Group,313 Central Ave,Kingsland,GA,31548,C-D-TBS,Camden Serenity Club - (912) 265-0892,NULL
TUE,09:30 AM,A,Living in the Light,900 Bridier St,Jacksonville,FL,32206,O-TBS-HF,NULL,NULL
TUE,09:30 AM,B,Winners,1400 Cassat Ave,Jacksonville,FL,32205,O-D-HF,In Strip Mall-End Unit,NULL
TUE,10:00 AM,C,Central Group,1423 San Marco Blvd,Jacksonville,FL,32207,C-D,NULL,NULL
TUE,11:00 AM,F,Fernandina Beach Group,906 S 7th St,Fernandina Beach,FL,32034,C-D-HF,Amelia Room 904-261-8349,NULL
TUE,12:00 PM,D,Arlington Group,1343 Cesery Terr,Jacksonville,FL,32211,O-D,NULL,NULL
TUE,12:00 PM,E,Beaches Unity Group,322 Penman Rd,Jacksonville Beach,FL,32250,O-D-HF,NULL,NULL
SAT,04:00 PM,H,Celebration Group,233 N Summit St,Crescent City,FL,32112,O-D-BS,Howe Memorial Methodist Church,NULL
TUE,12:00 PM,C,Central Group,1423 San Marco Blvd,Jacksonville,FL,32207,C-D,NULL,NULL
TUE,12:00 PM,D,Fiesta Group,3645 Spring Park Rd,Jacksonville,FL,32207,O-D-HF,NULL,NULL
TUE,12:00 PM,G,Green Cove Springs Group,610 Ferris St,Green Cove Springs,FL,32043,O-D-HF,Nanas House-2 blks W of US 17,NULL
TUE,12:00 PM,H,Ladies Unity Group,18 S Dixie Hwy,St Augustine,FL,32084,L-O-D-HF,NULL,NULL
TUE,12:00 PM,C,Mandarin Hi-Noon Group,2501 Loretto Rd,Jacksonville,FL,32223,O-D-HF,Mandarin Presbyterian Church - Choir Room,NULL
TUE,12:00 PM,H,Oldest City Mens Group,2200 A1A S,St Augustine,FL,32080,M-O-TBS-HF,St Augustine Beach City Hall,NULL
TUE,12:00 PM,G,Orange Park Group,1835 Smith St,Orange Park,FL,32073,O-D-HF,NULL,NULL
TUE,12:00 PM,H,Other Side of the Bridge,686 S Hwy 17,San Mateo,FL,32187,O-BS,Dunns Creek Baptist Church,NULL
TUE,12:00 PM,A,Phoenix Group,51 E First St,Jacksonville,FL,32206,O-D-HF,NULL,NULL
TUE,02:00 PM,D,Fiesta Group,3645 Spring Park Rd,Jacksonville,FL,32207,O-D-HF,NULL,NULL
TUE,02:00 PM,B,Westside Group,4615 Lexington Ave,Jacksonville,FL,32210,O-D-HF,NULL,NULL
TUE,05:30 PM,H,11th Step Meeting,21 Milton St,St Augustine,FL,32084,C-D-TBS-HF,Lutheran Church of the Martyrs,NULL
TUE,05:30 PM,D,Arlington Group,1343 Cesery Terr,Jacksonville,FL,32211,C-D,NULL,NULL
TUE,05:30 PM,D,Fiesta Group,3645 Spring Park Rd,Jacksonville,FL,32207,O-D-HF,NULL,NULL
TUE,05:30 PM,G,Melrose Happy Hour,204 SR 26,Melrose,FL,32666,O-D-HF,Trinity Episcopal Church,NULL
TUE,05:30 PM,C,Los Lobos Mens Group,1620 Naldo Ave,Jacksonville,FL,32207,M-O-D,Swaim Methodist Church,NULL
TUE,05:30 PM,G,Orange Park Group,1835 Smith St,Orange Park,FL,32073,O-D-HF,NULL,NULL
TUE,05:30 PM,H,Oyster Creek Group,18 S Dixie Hwy,St Augustine,FL,32084,O-TBS-HF,NULL,NULL
TUE,05:30 PM,D,Q Branch Group,11265 Alumni Way,Jacksonville,FL,32246,O-D,Quality Life Center,NULL
TUE,05:30 PM,A,Trout River Group,9745 Lem Turner,Jacksonville,FL,32208,O-D,NULL,NULL
TUE,05:30 PM,B,Winners,1400 Cassat Ave,Jacksonville,FL,32205,O-D-BS-HF,In Strip Mall-End Unit,NULL
TUE,06:00 PM,H,A Way Out Group,200 Main St,Palatka,FL,32177,O-D,St Marks Episcopal Church,NULL
TUE,06:00 PM,H,As Bill Sees It Group,6195 S Main St,Hastings,FL,32145,O-OL,Hastings Library Meeting Room,NULL
TUE,06:00 PM,C,Central Group,1423 San Marco Blvd,Jacksonville,FL,32207,C-D,NULL,NULL
TUE,06:00 PM,F,Kingsland Recovery Group,313 Central Ave,Kingsland,GA,31548,L-C-D,Camden Serenity Club - (912) 265-0892,NULL
TUE,06:00 PM,A,Living in the Light,900 Bridier St,Jacksonville,FL,32206,L-O-D-HF,NULL,NULL
TUE,06:30 PM,A,Alexis Group,2304 N Myrtle Ave,Jacksonville,FL,32209,O-D (S 4th Tues),Dallas Graham Library,NULL
TUE,06:30 PM,E,Beaches Unity Group,322 Penman Rd,Jacksonville Beach,FL,32250,O-D-HF,NULL,NULL
TUE,06:30 PM,F,Fernandina Beach Group,906 S 7th St,Fernandina Beach,FL,32034,O-D-HF,Amelia Room 904-261-8349,NULL
TUE,06:30 PM,E,Step-A-Month Group,400 San Juan Dr,Ponte Vedra Beach,FL,32082,O-BS-HF,Christ Episcopal Church-Park on Second Floor of Ga,NULL
TUE,07:00 PM,H,A New Life Group,233 N Summit St,Crescent City,FL,32112,O-BBS,Howe Memorial Methodist Church,NULL
TUE,07:00 PM,D,Conscious Contact Group,2002 San Pablo Rd S,Jacksonville,FL,32224,O-S-D-11th Step,Christ Episcopal Church San Pablo,NULL
TUE,07:00 PM,D,Fiesta Group,3645 Spring Park Rd,Jacksonville,FL,32207,O-S-HF,NULL,NULL
TUE,07:00 PM,E,I Am Responsible Group,2125 Oceanfront,Neptune Beach,FL,32266,O-D-GV,First Christian Church of the Beaches,NULL
TUE,07:00 PM,D,Language of the Heart,6500 Ft Caroline Rd,Jacksonville,FL,32277,O-S-HF,NULL,NULL
TUE,07:00 PM,G,Orange Park Group,1835 Smith St,Orange Park,FL,32073,O-D-HF,NULL,NULL
TUE,07:30 PM,H,Palatka Group,318 Osceola St,Palatka,FL,32177,O-BS-D-HF,The Lions Club,NULL
TUE,07:00 PM,B,Road To Freedom,5123-03 Timiquana Rd,Jacksonville,FL,32210,O-D,Consuming Fire Ministry,NULL
TUE,07:00 PM,A,This Too Shall Pass,2311 Starratt Rd,Jacksonville,FL,32226,O-D,Encounter Christian Church - Oceanway,NULL
THR,07:00 PM,D,Primary Purpose Group of St Ni,3134 Beach Blvd,Jacksonville,FL,32207,C-BBS-HF,NULL,NULL
TUE,07:00 PM,H,Womens Candlelight Group,2487 A1A S,St Augustine,FL,32080,L-O-TBS-HF,Unitarian Universalist Church - Basement S of 312,NULL
TUE,07:15 PM,D,James Gang II,2701 Hodges Blvd,Jacksonville,FL,32224,O-D-HF,New Life Christian/Providence School Room 101-A,NULL
TUE,07:30 PM,A,Fresh Start Group,51 E First St,Jacksonville,FL,32206,O-D-HF,NULL,NULL
TUE,07:00 PM,C,Greenland Rd Mandarin Group,6045 Greenland Rd,Jacksonville,FL,32258,O-D-DR-HF,Christs Church,NULL
TUE,07:30 PM,C,Mandarin Women In Recovery,2501 Lorretto Rd,Jacksonville,FL,32223,L-O-D (TBS-First S-Last),Mandarin Presbyterian Church - Room W-107,NULL
TUE,08:00 PM,D,Arlington Group,1343 Cesery Terr,Jacksonville,FL,32211,O-D,NULL,NULL
